[Thursday/January 26/01/2023 18:10:01] Videos/Anime/[EMBER] Isekai Ojisan - 08.mkv | length=1442.091 | time=18.7185746
[Thursday/January 26/01/2023 18:15:52] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E13.mkv | length=1509.95 | time=1003.3099936
[Thursday/January 26/01/2023 18:34:46] /home/harshan/input.mp4 | length=17.2917 | time=16.8834633
[Thursday/January 26/01/2023 18:35:23] /home/harshan/Videos/Source Code ( 2011 ) [1080p]/Source Code ( 2011 ) 1080p BrRip x264 1.16GB YIFY.mp4 | length=5592.64 | time=1988.9703169667
[Thursday/January 26/01/2023 18:37:10] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E03 - Episode 3 (1080p BluRay x265 Ghost).mkv | length=3560.096 | time=8.8833018
[Thursday/January 26/01/2023 19:40:13] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E13.mkv | length=1509.95 | time=5.7055925
[Thursday/January 26/01/2023 19:48:18] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E14.mkv | length=1450.03 | time=83.717103000006
[Thursday/January 26/01/2023 20:07:36] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E13.mkv | length=1509.95 | time=6.8063915
[Thursday/January 26/01/2023 20:07:37] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E14.mkv | length=1450.03 | time=0.1501998
[Thursday/January 26/01/2023 20:07:37] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E15.mkv | length=1450.039 | time=0.0502
[Thursday/January 26/01/2023 20:07:38] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E16.mkv | length=1450.04 | time=0.3503996
[Thursday/January 26/01/2023 20:08:56] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E17.mkv | length=1450.017 | time=1057.6651999
[Thursday/January 26/01/2023 20:09:54] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E18.mkv | length=1450.086 | time=52.001733100002
[Thursday/January 26/01/2023 20:10:12] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E19.mkv | length=1450.016 | time=100.5421855
[Thursday/January 26/01/2023 20:14:12] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E20.mkv | length=1450.039 | time=1450.039
[Thursday/January 26/01/2023 21:18:42] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E21.mkv | length=1450.015 | time=1450.015
[Thursday/January 26/01/2023 21:56:16] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E22.mkv | length=1509.98 | time=1450.0393514739
[Thursday/January 26/01/2023 22:19:09] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E23.mkv | length=1509.9 | time=1469.3911997
[Thursday/January 26/01/2023 22:46:38] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E24.mkv | length=1510.19 | time=1450.0388526077
[Thursday/January 26/01/2023 23:08:20] Videos/Anime/[Judas] Spy x Family (Season 1 Part 2) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Spy x Family - S01E25.mkv | length=1450.086 | time=1450.086
[Friday/January 27/01/2023 00:10:47] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E03 - Episode 3 (1080p BluRay x265 Ghost).mkv | length=3560.096 | time=1.9666588
[Friday/January 27/01/2023 00:10:52] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E04 - Episode 4 (1080p BluRay x265 Ghost).mkv | length=3519.072 | time=4.083321
[Friday/January 27/01/2023 00:12:26] input.mp4 | length=17.2917 | time=1.7083333333333
[Friday/January 27/01/2023 00:13:06] input.mp4 | length=17.2917 | time=14.2667757
[Friday/January 27/01/2023 00:31:29] input.mp4 | length=17.2917 | time=10.1588636
[Friday/January 27/01/2023 00:33:43] Videos/Anime/Violet Evergarden S01+Movies+OVA 1080p Dual Audio BDRip 10 bits DD x265-EMBER/01. Season 1 + OVA/S01E01-'I Love You' and Auto Memory Dolls [F03E1F7A].mkv | length=1421.088 | time=1421.088
[Friday/January 27/01/2023 00:34:47] Videos/Anime/Violet Evergarden S01+Movies+OVA 1080p Dual Audio BDRip 10 bits DD x265-EMBER/01. Season 1 + OVA/S01E02-Never Coming Back [244B2CCF].mkv | length=1511.072 | time=809.92535450006
[Friday/January 27/01/2023 00:35:05] Videos/Anime/Violet Evergarden S01+Movies+OVA 1080p Dual Audio BDRip 10 bits DD x265-EMBER/01. Season 1 + OVA/S01E01-'I Love You' and Auto Memory Dolls [F03E1F7A].mkv | length=1421.088 | time=1.8517965
[Friday/January 27/01/2023 00:35:41] Videos/Anime/Violet Evergarden S01+Movies+OVA 1080p Dual Audio BDRip 10 bits DD x265-EMBER/01. Season 1 + OVA/S01E02-Never Coming Back [244B2CCF].mkv | length=1511.072 | time=2.3853955
[Friday/January 27/01/2023 00:36:46] Videos/Anime/Violet Evergarden S01+Movies+OVA 1080p Dual Audio BDRip 10 bits DD x265-EMBER/01. Season 1 + OVA/S01E01-'I Love You' and Auto Memory Dolls [F03E1F7A].mkv | length=1421.088 | time=123.80677029999
[Friday/January 27/01/2023 00:54:14] Videos/Anime/[Salieri] Demon Slayer - Kimetsu No Yaiba - S3 - Entertainment District - BD (1080P) (HDR) [Dual-Audio]/[Salieri] Demon Slayer S3 - Kimetsu No Yaiba- Entertainment District - 10 (1080P) (HDR) [Dual-Audio].mkv | length=1422.046 | time=1414.7551817
[Friday/January 27/01/2023 01:01:38] Videos/Anime/[Salieri] Demon Slayer - Kimetsu No Yaiba - S3 - Entertainment District - BD (1080P) (HDR) [Dual-Audio]/[Salieri] Demon Slayer S3 - Kimetsu No Yaiba- Entertainment District - 10 (1080P) (HDR) [Dual-Audio].mkv | length=1422.046 | time=1321.9291989
[Friday/January 27/01/2023 01:05:44] /home/harshan/Videos/Anime/[Salieri] Demon Slayer - Kimetsu No Yaiba - S3 - Entertainment District - BD (1080P) (HDR) [Dual-Audio]/[Salieri] Demon Slayer S3 - Kimetsu No Yaiba- Entertainment District - 10 (1080P) (HDR) [Dual-Audio].mkv | length=1422.046 | time=1052.5855145
[Friday/January 27/01/2023 01:07:53] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E03 - Episode 3 (1080p BluRay x265 Ghost).mkv | length=3560.096 | time=2.4666642
[Friday/January 27/01/2023 18:22:12] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E04 - Episode 4 (1080p BluRay x265 Ghost).mkv | length=3519.072 | time=3519.072
[Friday/January 27/01/2023 20:28:24] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E05 - Episode 5 (1080p BluRay x265 Ghost).mkv | length=3546.08 | time=1693.8002908007
[Saturday/January 28/01/2023 01:48:30] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E05 - Episode 5 (1080p BluRay x265 Ghost).mkv | length=3546.08 | time=1697.32
[Thursday/February 02/02/2023 17:55:49] Videos/Anime/[EMBER] Isekai Ojisan - 08.mkv | length=1442.091 | time=0
[Thursday/February 02/02/2023 18:22:11] Videos/Anime/[EMBER] Isekai Ojisan - 08.mkv | length=1442.091 | time=1355.5200063008
[Thursday/February 02/02/2023 18:48:45] Videos/Anime/[EMBER] Isekai Ojisan - 09.mkv | length=1422.122 | time=1422.122
[Thursday/February 02/02/2023 19:17:03] Videos/Anime/[EMBER] Isekai Ojisan - 10.mkv | length=1422.122 | time=1422.1223333333
[Friday/February 10/02/2023 01:08:21] /home/harshan/Videos/Anime/[EMBER] Isekai Ojisan - 11.mkv | length=1422.08 | time=624.916
[Friday/February 10/02/2023 11:18:19] /home/harshan/Videos/Anime/[EMBER] Isekai Ojisan - 12 V2.mkv | length=1442.091 | time=596.33637264151
[Sunday/February 12/02/2023 00:45:13] /home/harshan/Videos/Anime/[EMBER] Isekai Ojisan - 11.mkv | length=1422.08 | time=1.877
[Sunday/February 12/02/2023 00:49:04] /home/harshan/Videos/Anime/[EMBER] Isekai Ojisan - 11.mkv | length=1422.08 | time=164.206
[Sunday/February 12/02/2023 02:08:14] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E12.mkv | length=1530.009 | time=17.392
[Sunday/February 12/02/2023 02:26:06] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 2/Peaky Blinders (2013) - S02E01 - Episode 1 (1080p BluRay x265 Ghost).mkv | length=3535.072 | time=3.5499858
[Sunday/February 12/02/2023 02:37:18] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E12.mkv | length=1530.009 | time=3.128
[Sunday/February 12/02/2023 02:39:18] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E13 (S03E12 Part 2).mkv | length=1530.147 | time=417.14178159999
[Sunday/February 12/02/2023 21:03:53] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E12.mkv | length=1530.009 | time=1530.009
[Sunday/February 12/02/2023 21:06:49] Videos/Anime/[Judas] Kaguya-Sama Wa Kokurasetai (Season 3) [1080p][HEVC x265 10bit][Multi-Subs]/[Judas] Kaguya-Sama Wa Kokurasetai - S03E13 (S03E12 Part 2).mkv | length=1530.147 | time=415.10617029997
[Sunday/February 12/02/2023 22:36:47] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E01 - Episode 1 (1080p BluRay x265 Ghost).mkv | length=3342.08 | time=2.8
[Sunday/February 12/02/2023 22:44:30] /home/harshan/Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E02 - Episode 2 (1080p BluRay x265 Ghost).mkv | length=3497.056 | time=124.52
[Sunday/February 12/02/2023 22:56:19] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E02 - Episode 2 (1080p BluRay x265 Ghost).mkv | length=3497.056 | time=211.21293760005
[Monday/February 13/02/2023 18:59:19] Videos/Anime/[EMBER] Isekai Ojisan - 11.mkv | length=1422.08 | time=1422.08
[Tuesday/February 14/02/2023 19:02:08] Videos/Anime/[35mm] Koe no Katachi - A Silent Voice [1080p] [B9471AD7].mkv | length=7782.783 | time=2.8863945
[Tuesday/February 14/02/2023 19:04:21] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E02 - Episode 2 (1080p BluRay x265 Ghost).mkv | length=3497.056 | time=50.16
[Tuesday/February 14/02/2023 19:05:02] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E01 - Episode 1 (1080p BluRay x265 Ghost).mkv | length=3342.08 | time=8.36
[Tuesday/February 14/02/2023 19:06:02] Videos/Anime/[EMBER] Isekai Ojisan - 11.mkv | length=1422.08 | time=744.43715510988
[Tuesday/February 14/02/2023 19:06:04] Videos/Anime/[EMBER] Isekai Ojisan - 12 V2.mkv | length=1442.091 | time=152.62678756219
[Tuesday/February 14/02/2023 19:06:10] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E01 - Episode 1 (1080p BluRay x265 Ghost).mkv | length=3342.08 | time=1.12
[Tuesday/February 14/02/2023 20:25:50] Videos/Peaky Blinders (2013) Season 1-6 S01-S06 + Extras (1080p BluRay x265 HEVC 10bit EAC3 Mixed Ghost)/Season 3/Peaky Blinders (2013) - S03E03 - Episode 3 (1080p BluRay x265 Ghost).mkv | length=3530.08 | time=1
